Exp,HMI,VP,TC10_Comment,TC10_valid,TC10_EB_triggered,TC10_Aut_Lvl_Notification,TC10_Aut_Lvl_End,TC10_TimeToL0,TC10_Nth_Gaze_To_IC,TC10_N_Gazes_Till_EB_or_TO,TC10_IC_Glance_Allocation_Time,TC10_IC_Glance_at_Start,TC10_IC_Number_Of_Glances_after_start,TC10_IC_Total_Duration,TC10_IC_Mean_Duration,TC10_IC_Max_Duration,TC10_IC_First_Glance_Duration_incl_start,TC10_IC_First_Glance_Duration_without_start,TC10_Street_Glance_at_Start,TC10_Street_Number_Of_Glances_after_start,TC10_Street_Total_Duration,TC10_Street_Mean_Duration,TC10_Street_Max_Duration,TC10_Street_First_Glance_Duration_incl_start,TC10_Street_First_Glance_Duration_without_start,TC10_Surt_Glance_at_Start,TC10_Surt_Number_Of_Glances_after_start,TC10_Surt_Total_Duration,TC10_Surt_Mean_Duration,TC10_Surt_Max_Duration,TC10_Surt_First_Glance_Duration_incl_start,TC10_Surt_First_Glance_Duration_without_start,TC10_Wheel_Glance_at_Start,TC10_Wheel_Number_Of_Glances_after_start,TC10_Wheel_Total_Duration,TC10_Wheel_Mean_Duration,TC10_Wheel_Max_Duration,TC10_Wheel_First_Glance_Duration_incl_start,TC10_Wheel_First_Glance_Duration_without_start
3,LC,57,,1,0,3,3,0,,2,,0,0,0.000,,0.000,,,0,1,0.612,0.612,0.612,0.612,0.612,1,2,19.388,9.694,12.308,12.308,7.080,0,0,0.00,,0.00,,
3,LC,58,,1,1,3,0,26.5,,2,,0,0,0.000,,0.000,,,0,1,0.510,0.510,0.510,0.510,0.510,1,2,19.490,9.745,10.404,10.404,9.086,0,0,0.00,,0.00,,
3,LC,59,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LC,60,,1,0,3,0,6.6,0,2,,1,2,5.920,2.960,3.094,3.094,2.826,0,0,0.000,,0.000,,,0,0,0.000,,0.000,,,0,1,0.68,0.68,0.68,0.68,0.68
3,LC,61,,1,1,3,0,27.4,,2,,0,0,0.000,,0.000,,,0,1,0.510,0.510,0.510,0.510,0.510,1,2,19.490,9.745,9.987,9.503,9.987,0,0,0.00,,0.00,,
3,LC,62,,1,1,3,0,27.2,,5,,0,0,0.000,,0.000,,,0,3,15.954,5.318,10.863,10.863,10.863,1,3,4.046,1.349,1.819,0.952,1.275,0,0,0.00,,0.00,,
3,LC,63,,1,1,3,0,25.4,,0,,0,0,0.000,,0.000,,,0,0,0.000,,0.000,,,1,1,20.000,20.000,20.000,20.000,,0,0,0.00,,0.00,,
3,LC,64,,1,1,3,0,27.2,,0,,0,0,0.000,,0.000,,,0,0,0.000,,0.000,,,1,1,20.000,20.000,20.000,20.000,,0,0,0.00,,0.00,,
3,LC,65,,1,1,3,0,26.3,3,4,17.952,0,1,0.663,0.663,0.663,0.663,0.663,0,2,3.700,1.850,2.315,2.315,2.315,1,2,15.637,7.819,15.467,0.170,15.467,0,0,0.00,,0.00,,
3,LC,66,,1,1,3,0,22,3,5,12.852,0,2,5.244,2.622,3.867,1.377,1.377,0,2,3.281,1.640,1.904,1.377,1.377,1,2,11.475,5.738,9.248,9.248,2.227,0,0,0.00,,0.00,,
3,LC,67,,1,1,3,0,21.7,2,6,4.046,0,3,14.254,4.751,11.118,11.118,11.118,0,3,2.669,0.890,1.207,0.969,0.969,1,1,3.077,3.077,3.077,3.077,,0,0,0.00,,0.00,,
3,LC,68,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LC,69,,1,0,3,0,14.5,3,3,11.305,0,1,3.195,3.195,3.195,3.195,3.195,0,1,3.094,3.094,3.094,3.094,3.094,1,2,8.211,4.106,7.055,1.156,7.055,0,0,0.00,,0.00,,
3,LC,70,,1,1,3,0,24.2,,0,,0,0,0.000,,0.000,,,0,0,0.000,,0.000,,,1,1,20.000,20.000,20.000,20.000,,0,0,0.00,,0.00,,
3,LC,71,,1,0,3,0,12.8,1,3,8.126,0,2,3.824,1.912,2.278,2.278,2.278,0,0,0.000,,0.000,,,1,1,8.126,8.126,8.126,8.126,,0,1,0.85,0.85,0.85,0.85,0.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
