"Exp","HMI","VPNr","TC10_comment","TC10_valid","TC10_EB_triggered","TC10_lvl_notification","TC10_lvl_end","TC10_TimeToL0","TC10_nth_gaze_to_ic","TC10_n_gazes_till_EB_or_TO","TC10_ic_glance_allocation_time","TC10_ic_glance_at_start","TC10_ic_n_glances_after_start","TC10_ic_total_duration","TC10_ic_mean_duration","TC10_ic_max_duration","TC10_ic_1st_glance_duration_incl_start","TC10_ic_1st_glance_duration_without_start","TC10_street_glance_at_start","TC10_street_n_glances_after_start","TC10_street_total_duration","TC10_street_mean_duration","TC10_street_max_duration","TC10_street_1st_glance_duration_incl_start","TC10_street_1st_glance_duration_without_start","TC10_surt_glance_at_start","TC10_surt_n_glances_after_start","TC10_surt_total_duration","TC10_surt_mean_duration","TC10_surt_max_duration","TC10_surt_1st_glance_duration_incl_start","TC10_surt_1st_glance_duration_without_start","TC10_wheel_glance_at_start","TC10_wheel_n_glances_after_start","TC10_wheel_total_duration","TC10_wheel_mean_duration","TC10_wheel_max_duration","TC10_wheel_1st_glance_duration_incl_start","TC10_wheel_1st_glance_duration_without_start","TC12_comment","TC12_valid","TC12_EB_triggered","TC12_lvl_notification","TC12_lvl_end","TC12_TimeToL0","TC12_nth_gaze_to_ic","TC12_n_gazes_till_EB_or_TO","TC12_ic_glance_allocation_time","TC12_ic_glance_at_start","TC12_ic_n_glances_after_start","TC12_ic_total_duration","TC12_ic_mean_duration","TC12_ic_max_duration","TC12_ic_1st_glance_duration_incl_start","TC12_ic_1st_glance_duration_without_start","TC12_street_glance_at_start","TC12_street_n_glances_after_start","TC12_street_total_duration","TC12_street_mean_duration","TC12_street_max_duration","TC12_street_1st_glance_duration_incl_start","TC12_street_1st_glance_duration_without_start","TC12_surt_glance_at_start","TC12_surt_n_glances_after_start","TC12_surt_total_duration","TC12_surt_mean_duration","TC12_surt_max_duration","TC12_surt_1st_glance_duration_incl_start","TC12_surt_1st_glance_duration_without_start","TC12_wheel_glance_at_start","TC12_wheel_n_glances_after_start","TC12_wheel_total_duration","TC12_wheel_mean_duration","TC12_wheel_max_duration","TC12_wheel_1st_glance_duration_incl_start","TC12_wheel_1st_glance_duration_without_start"
1,"HC",11,"",1,0,3,0,7.5499964,1,7,3.13,0,4,3.04,0.76,2.31,2.31,2.31,0,1,0.31,0.31,0.31,0.31,0.31,1,1,3.13,3.13,3.13,3.13,NA,0,2,1.07,0.53,0.61,0.46,0.46,"",1,1,3,0,7.3666603,1,5,0.75,0,3,3.88,1.293,2.13,1.19,1.19,0,1,0.73,0.73,0.73,0.73,0.73,1,1,0.75,0.75,0.75,0.75,NA,0,1,0.64,0.64,0.64,0.64,0.64
1,"HC",12,"",1,0,3,0,19.3499979,1,12,0.5,0,6,11.68,1.947,3.72,2.71,2.71,0,0,0,NA,0,NA,NA,1,5,6.52,1.304,2.04,0.5,1.41,0,2,1.15,0.57,0.72,0.43,0.43,"",1,0,3,0,3.6499987,1,3,0.78,0,2,2.41,1.205,2.19,2.19,2.19,0,0,0,NA,0,NA,NA,1,1,0.78,0.78,0.78,0.78,NA,0,1,0.46,0.46,0.46,0.46,0.46
1,"HC",13,"",1,0,3,0,19.5666669,2,12,3.47,0,6,11.927,1.988,3.57,3.33,3.33,0,3,1.65,0.55,0.73,0.54,0.54,1,1,2.93,2.93,2.93,2.93,NA,0,3,3.06,1.02,1.55,1.55,1.55,"",1,0,3,0,4.9499984,1,3,0.99,0,2,2.84,1.42,2.18,2.18,2.18,0,0,0,NA,0,NA,NA,1,1,0.99,0.99,0.99,0.99,NA,0,1,1.12,1.12,1.12,1.12,1.12
1,"HC",14,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",15,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",16,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"HC",17,"",1,0,3,0,8.9833343,1,5,2.44,0,3,5.473,1.824,2.7,2.32,2.32,0,0,0,NA,0,NA,NA,1,1,2.44,2.44,2.44,2.44,NA,0,2,1.07,0.54,0.73,0.73,0.73,"",1,0,3,0,2.466665,1,3,0.53,0,2,1.407,0.703,1.09,1.09,1.09,0,0,0,NA,0,NA,NA,1,1,0.53,0.53,0.53,0.53,NA,0,1,0.53,0.53,0.53,0.53,0.53
1,"HC",18,"",1,0,3,0,13.6166651,1,7,8.69,0,4,3.787,0.947,1.44,0.52,0.52,0,2,0.99,0.495,0.63,0.36,0.36,1,1,8.69,8.69,8.69,8.69,NA,0,1,0.15,0.15,0.15,0.15,0.15,"",1,0,3,0,3.0999956,1,7,0.912,0,3,0.858,0.286,0.658,0.658,0.658,0,2,0.59,0.295,0.54,0.54,0.54,1,1,0.912,0.912,0.912,0.912,NA,0,2,0.74,0.37,0.54,0.54,0.54
1,"HC",19,"",1,1,3,0,22.8999927,1,10,0.56,0,5,13.38,2.676,4.32,3.93,3.93,0,4,4.87,1.217,1.65,0.9,0.9,1,1,0.56,0.56,0.56,0.56,NA,0,1,1.19,1.19,1.19,1.19,1.19,"",1,1,3,0,7.6666692,1,3,0.47,0,2,4.08,2.04,3.38,3.38,3.38,0,1,1.45,1.45,1.45,1.45,1.45,1,1,0.47,0.47,0.47,0.47,NA,0,0,0,NA,0,NA,NA
1,"HC",20,"",1,1,3,0,25.5666668,1,5,7.55,0,3,11.32,3.773,7.09,7.09,7.09,0,2,1.13,0.565,0.72,0.72,0.72,1,1,7.55,7.55,7.55,7.55,NA,0,0,0,NA,0,NA,NA,"",1,0,3,0,1.8500015,1,2,0.63,0,1,1.02,1.02,1.02,1.02,1.02,0,1,0.2,0.2,0.2,0.2,0.2,1,1,0.63,0.63,0.63,0.63,NA,0,0,0,NA,0,NA,NA
1,"HC",21,"",1,0,3,0,9.5666666,1,8,0.58,0,4,5.577,1.394,2.41,2.41,2.41,0,3,2.42,0.807,1.29,1.29,1.29,1,2,1.57,0.785,0.99,0.58,0.99,0,0,0,NA,0,NA,NA,"",1,0,3,0,3.2166672,1,4,0.62,0,2,1.997,0.998,1.71,1.71,1.71,0,1,0.19,0.19,0.19,0.19,0.19,1,1,0.62,0.62,0.62,0.62,NA,0,1,0.41,0.41,0.41,0.41,0.41
1,"HC",22,"",1,0,3,0,10.766667,1,7,0.41,0,4,8.727,2.182,3.32,3.16,3.16,0,2,0.68,0.34,0.41,0.27,0.27,1,1,0.41,0.41,0.41,0.41,NA,0,1,0.95,0.95,0.95,0.95,0.95,"",1,0,3,0,2.6833317,1,3,0.34,0,2,1.763,0.882,1.34,1.34,1.34,0,0,0,NA,0,NA,NA,1,1,0.34,0.34,0.34,0.34,NA,0,1,0.58,0.58,0.58,0.58,0.58
1,"HC",23,"",1,0,3,0,17.8166658,1,12,8.41,0,6,6.58,1.097,2.52,1.56,1.56,0,4,1.9,0.475,0.7,0.7,0.7,1,1,8.41,8.41,8.41,8.41,NA,0,2,0.93,0.46,0.74,0.19,0.19,"",1,0,3,0,2.2166666,1,3,0.69,0,1,0.8,0.8,0.8,0.8,0.8,0,1,0.147,0.147,0.147,0.147,0.147,1,1,0.69,0.69,0.69,0.69,NA,0,1,0.58,0.58,0.58,0.58,0.58
1,"HC",24,"",1,0,3,0,16.1833334,4,10,5.95,0,4,7.853,1.963,4.1,4.1,4.1,1,5,3.2,0.64,1.52,0.32,0.5,0,2,5.13,2.565,3.31,3.31,3.31,0,0,0,NA,0,NA,NA,"",1,1,3,0,9.133331,1,6,0.51,0,3,3.83,1.277,2.35,2.35,2.35,0,2,1.25,0.625,0.8,0.45,0.45,1,2,0.92,0.46,0.51,0.51,0.41,0,0,0,NA,0,NA,NA
1,"HC",25,"",1,0,3,0,7.4166659,2,6,2.53,0,3,3.697,1.232,2.3,2.3,2.3,1,2,0.69,0.345,0.44,0.25,0.44,0,1,2.28,2.28,2.28,2.28,2.28,0,1,0.75,0.75,0.75,0.75,0.75,"",1,1,3,0,7.4333353,1,5,0.08,0,3,5.19,1.73,3.03,0.09,0.09,0,1,0.34,0.34,0.34,0.34,0.34,1,2,0.47,0.235,0.39,0.08,0.39,0,0,0,NA,0,NA,NA
1,"HC",26,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",51,"",1,0,3,0,4.9166676,1,3,0.61,0,2,3.757,1.878,3.05,3.05,3.05,0,0,0,NA,0,NA,NA,1,1,0.61,0.61,0.61,0.61,NA,0,1,0.55,0.55,0.55,0.55,0.55,"sieht den Fehler nicht schaut immer kurz hin. schaut bei Übersteuern bereits auf street",1,1,3,0,8.2999947,1,11,0.04,0,6,5.85,0.975,5.71,0.06,0.06,0,0,0,NA,0,NA,NA,1,6,0.15,0.025,0.04,0.04,0.02,0,0,0,NA,0,NA,NA
1,"LC",52,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kein ET",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"LC",53,"",1,0,3,0,6.5500005,1,3,0.58,0,2,5.55,2.775,3.43,2.12,2.12,0,1,0.42,0.42,0.42,0.42,0.42,1,1,0.58,0.58,0.58,0.58,NA,0,0,0,NA,0,NA,NA,"",1,0,3,0,4.5666694,1,4,0.53,0,2,3.57,1.785,2.07,1.5,1.5,0,1,0.3,0.3,0.3,0.3,0.3,1,1,0.53,0.53,0.53,0.53,NA,0,1,0.17,0.17,0.17,0.17,0.17
1,"LC",54,"",1,0,3,0,9.4833334,1,3,0.54,0,2,8.083,4.042,7.63,7.63,7.63,0,0,0,NA,0,NA,NA,1,1,0.54,0.54,0.54,0.54,NA,0,1,0.86,0.86,0.86,0.86,0.86,"",1,1,3,0,7.9833333,1,2,0.51,0,1,5.39,5.39,5.39,5.39,5.39,0,1,0.1,0.1,0.1,0.1,0.1,1,1,0.51,0.51,0.51,0.51,NA,0,0,0,NA,0,NA,NA
1,"LC",55,"",1,1,3,0,22.8166669,1,1,5.51,0,1,14.49,14.49,14.49,14.49,14.49,0,0,0,NA,0,NA,NA,1,1,5.51,5.51,5.51,5.51,NA,0,0,0,NA,0,NA,NA,"",1,1,3,0,7.8000014,2,2,1.18,0,1,4.82,4.82,4.82,4.82,4.82,0,1,0.9,0.9,0.9,0.9,0.9,1,1,0.28,0.28,0.28,0.28,NA,0,0,0,NA,0,NA,NA
1,"LC",56,"",1,1,3,0,26.9499942,NA,0,NA,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA,1,1,20,20,20,20,NA,0,0,0,NA,0,NA,NA,"",1,1,3,0,12.1499987,999,0,NA,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA,1,1,6,6,6,6,NA,0,0,0,NA,0,NA,NA
1,"LC",57,"",1,1,3,0,26.433335,1,6,17.02,0,2,1.59,0.795,0.85,0.74,0.74,0,1,0.12,0.12,0.12,0.12,0.12,1,4,18.29,4.573,17.02,17.02,0.19,0,0,0,NA,0,NA,NA,"",1,1,3,0,7.9333278,1,9,0.48,0,5,3.599,0.72,1.394,1.394,1.394,0,3,1.547,0.516,0.629,0.561,0.561,1,1,0.48,0.48,0.48,0.48,NA,0,1,0.37,0.37,0.37,0.37,0.37
1,"LC",58,"",1,1,3,0,22.666667,NA,0,NA,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA,1,1,20,20,20,20,NA,0,0,0,NA,0,NA,NA,"",1,0,3,0,3.2500008,1,5,0.46,0,3,1.9,0.633,1.07,1.07,1.07,0,1,0.56,0.56,0.56,0.56,0.56,1,1,0.46,0.46,0.46,0.46,NA,0,1,0.33,0.33,0.33,0.33,0.33
1,"LC",59,"",1,0,3,0,15.2166679,1,7,8.01,0,4,5.677,1.419,3.55,3.55,3.55,0,2,1.09,0.545,0.68,0.68,0.68,1,1,8.01,8.01,8.01,8.01,NA,0,1,0.44,0.44,0.44,0.44,0.44,"",1,1,3,0,9.3499977,1,1,5.62,0,1,0.38,0.38,0.38,0.38,0.38,0,0,0,NA,0,NA,NA,1,1,5.62,5.62,5.62,5.62,NA,0,0,0,NA,0,NA,NA
1,"LC",60,"",1,0,3,0,6.1333318,1,3,0.48,0,2,5.263,2.632,3.79,3.79,3.79,0,0,0,NA,0,NA,NA,1,1,0.48,0.48,0.48,0.48,NA,0,1,0.39,0.39,0.39,0.39,0.39,"",1,0,3,0,2.7333195,1,3,0.38,0,2,1.983,0.992,1.57,1.57,1.57,1,1,0.38,0.38,0.38,0.38,NA,0,0,0,NA,0,NA,NA,0,1,0.37,0.37,0.37,0.37,0.37
1,"LC",61,"",1,0,3,0,13.9833371,1,3,7.56,0,2,5.813,2.907,4.85,4.85,4.85,0,0,0,NA,0,NA,NA,1,1,7.56,7.56,7.56,7.56,NA,0,1,0.61,0.61,0.61,0.61,0.61,"",1,0,3,0,3.0999999,1,1,0.558,0,1,2.542,2.542,2.542,2.542,2.542,0,0,0,NA,0,NA,NA,1,1,0.558,0.558,0.558,0.558,NA,0,0,0,NA,0,NA,NA
1,"LC",62,"",1,1,3,0,26.3000185,NA,0,NA,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA,1,1,20,20,20,20,NA,0,0,0,NA,0,NA,NA,"",1,0,3,0,3.6166639,0,2,NA,1,2,2.887,1.443,2.27,2.27,0.617,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA,0,1,0.73,0.73,0.73,0.73,0.73
1,"LC",63,"",1,0,3,0,8.0833357,1,4,0.68,0,2,6.43,3.215,4.2,4.2,4.2,0,1,0.513,0.513,0.513,0.513,0.513,1,1,0.68,0.68,0.68,0.68,NA,0,1,0.46,0.46,0.46,0.46,0.46,"",1,0,3,0,3.55,1,3,0.652,0,2,2.488,1.244,2.028,2.028,2.028,0,0,0,NA,0,NA,NA,1,1,0.652,0.652,0.652,0.652,NA,0,1,0.41,0.41,0.41,0.41,0.41
1,"LC",65,"",1,1,3,0,24.5833326,1,4,0.36,0,2,3.73,1.865,3.14,3.14,3.14,0,0,0,NA,0,NA,NA,1,3,16.27,5.423,15.39,0.36,0.52,0,0,0,NA,0,NA,NA,"",1,1,3,0,8.0833351,1,4,2.19,0,2,2.82,1.41,1.77,1.77,1.77,0,1,0.84,0.84,0.84,0.84,0.84,1,1,2.19,2.19,2.19,2.19,NA,0,1,0.15,0.15,0.15,0.15,0.15
1,"LC",66,"",1,1,3,0,24.05,0,12,NA,1,7,14.7,2.1,4.23,0.4,0.46,0,3,2.82,0.94,1.18,1.18,1.18,0,3,2.48,0.827,1.21,1.21,1.21,0,0,0,NA,0,NA,NA,"",1,1,3,0,8.616636,0,5,NA,1,3,3.93,1.31,1.71,1.71,1.57,0,3,2.07,0.69,1.05,0.71,0.71,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA
1,"LC",67,"",1,1,3,0,24.5833333,1,8,5.87,0,4,6.46,1.615,3.98,3.98,3.98,0,1,0.14,0.14,0.14,0.14,0.14,1,4,13.4,3.35,5.87,5.87,2.8,0,0,0,NA,0,NA,NA,"",1,0,3,0,2.5333351,0,2,NA,1,2,1.993,0.997,1.57,1.57,0.423,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA,0,1,0.54,0.54,0.54,0.54,0.54
1,"LC",68,"",1,0,3,0,8.6166648,1,5,1.04,0,3,6.577,2.192,5.33,5.33,5.33,0,0,0,NA,0,NA,NA,1,1,1.04,1.04,1.04,1.04,NA,0,2,1,0.5,0.52,0.48,0.48,"",1,1,3,0,6.1666651,1,6,0.77,0,3,3.9,1.3,1.63,1.63,1.63,0,1,0.28,0.28,0.28,0.28,0.28,1,2,1.22,0.61,0.77,0.77,0.45,0,1,0.6,0.6,0.6,0.6,0.6
1,"LC",69,"",1,0,3,0,11.7833326,1,12,0.5,0,6,6.57,1.095,2.15,2.15,2.15,0,4,4.023,1.006,1.6,0.55,0.55,1,1,0.5,0.5,0.5,0.5,NA,0,2,0.69,0.35,0.46,0.23,0.23,"",1,0,3,0,3.6499978,1,5,0.4,0,3,2.38,0.793,1.67,1.67,1.67,0,1,0.39,0.39,0.39,0.39,0.39,1,1,0.4,0.4,0.4,0.4,NA,0,1,0.48,0.48,0.48,0.48,0.48
1,"LC",70,"",1,0,3,0,11.0166677,1,5,0.1,0,2,8.7,4.35,5.76,5.76,5.76,0,2,0.677,0.338,0.57,0.57,0.57,1,1,0.1,0.1,0.1,0.1,NA,0,1,1.54,1.54,1.54,1.54,1.54,"",1,1,3,0,11.583351,1,7,0.36,0,4,3.88,0.97,1.61,1.61,1.61,0,3,1.76,0.587,1.66,0.02,0.02,1,1,0.36,0.36,0.36,0.36,NA,0,0,0,NA,0,NA,NA
1,"LC",71,"",1,1,3,0,24.9499998,1,8,0.61,0,4,9.9,2.475,5.83,5.83,5.83,0,0,0,NA,0,NA,NA,1,5,10.1,2.02,3.07,0.61,1.14,0,0,0,NA,0,NA,NA,"",1,0,3,0,2.9499956,0,1,NA,1,1,2.24,2.24,2.24,2.24,NA,0,1,0.71,0.71,0.71,0.71,0.71,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA
1,"LC",72,"",1,0,3,0,3.0833316,1,3,0.44,0,2,2.143,1.072,1.7,1.7,1.7,0,0,0,NA,0,NA,NA,1,1,0.44,0.44,0.44,0.44,NA,0,1,0.5,0.5,0.5,0.5,0.5,"",1,0,3,0,3.7832473,1,3,1.55,0,2,1.823,0.912,1.5,1.5,1.5,0,0,0,NA,0,NA,NA,1,1,1.55,1.55,1.55,1.55,NA,0,1,0.41,0.41,0.41,0.41,0.41
1,"LC",73,"",1,1,3,0,22.4000077,1,12,1.68,0,6,9.65,1.608,3.11,3.11,3.11,0,4,7.22,1.805,5.49,0.73,0.73,1,3,3.13,1.043,1.68,1.68,1.06,0,0,0,NA,0,NA,NA,"",1,1,3,0,9.2166647,999,0,NA,0,0,0,NA,0,NA,NA,0,0,0,NA,0,NA,NA,1,1,6,6,6,6,NA,0,0,0,NA,0,NA,NA
1,"LC",74,"",1,1,3,0,21.916667,3,7,3.66,0,3,15.16,5.053,7.07,6.6,6.6,0,3,1.7,0.567,0.77,0.52,0.52,1,2,3.14,1.57,2.51,0.63,2.51,0,0,0,NA,0,NA,NA,"",1,1,3,0,7.55,1,1,0.4,0,1,5.6,5.6,5.6,5.6,5.6,0,0,0,NA,0,NA,NA,1,1,0.4,0.4,0.4,0.4,NA,0,0,0,NA,0,NA,NA
1,"LC",75,"",1,0,3,2,7.783318,1,3,1.8,0,2,5.403,2.702,4.68,4.68,4.68,0,0,0,NA,0,NA,NA,1,1,1.8,1.8,1.8,1.8,NA,0,1,0.58,0.58,0.58,0.58,0.58,"",1,1,3,0,9.1833333,1,3,0.6,0,2,4.68,2.34,4.67,4.67,4.67,0,0,0,NA,0,NA,NA,1,1,0.6,0.6,0.6,0.6,NA,0,1,0.72,0.72,0.72,0.72,0.72
