Exp,HMI,VP,TC01_Duration,TC01_Surt_AOI_Attention_Ratio,TC01_street_AOI_Attention_Ratio,TC01_ic_AOI_Attention_Ratio,TC01_wheel_AOI_Attention_Ratio,TC01_EyesOnAOIs,TC01_valid,TC01_Comment,TC04_Duration,TC04_Surt_AOI_Attention_Ratio,TC04_street_AOI_Attention_Ratio,TC04_ic_AOI_Attention_Ratio,TC04_wheel_AOI_Attention_Ratio,TC04_EyesOnAOIs,TC04_valid,TC04_Comment,TC07_Duration,TC07_Surt_AOI_Attention_Ratio,TC07_street_AOI_Attention_Ratio,TC07_ic_AOI_Attention_Ratio,TC07_wheel_AOI_Attention_Ratio,TC07_EyesOnAOIs,TC07_valid,TC07_Comment,TC01_Lvl_start,TC01_Lvl_end,TC01_prop_L0,TC01_prop_L2,TC01_prop_L3,TC04_Lvl_start,TC04_Lvl_end,TC04_prop_L0,TC04_prop_L2,TC04_prop_L3,TC07_Lvl_start,TC07_Lvl_end,TC07_prop_L0,TC07_prop_L2,TC07_prop_L3
2,HC,9,74.775,0,0,26.07,65.935,0.92,1,,74.09,0,91.165,3.982,2.937,0.98,1,,74.434,0,0,19.667,76.164,0.96,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,10,62.303,0,0,25.578,71.666,0.97,1,,78.075,0,90.253,4.232,4.07,0.99,1,,74.304,0,0.017,10.707,86.707,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,11,,,,,,0.00,0,,74.291,0,64.032,7.761,1.859,0.74,1,,74.274,0.071,0.162,30.584,57.739,0.89,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,13,72.653,0,0,83.454,1.1,0.85,1,,74.698,0,96.79,0.021,1.36,0.98,1,,74.478,0,0.796,49.476,26.111,0.76,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,14,70.56,3.306,15.839,56.831,0.916,0.77,0,,74.569,0,93.004,3.894,1.489,0.98,1,,74.607,0.227,0,44.637,38.617,0.83,1,,0,3,0.035897436,0.211965812,0.752136752,3,3,0,0,1,2,2,0,1,0
2,HC,15,66.474,0,0.915,47.11,24.428,0.72,1,,71.829,0.043,64.131,20.428,8.346,0.93,1,,75.173,1.039,1.064,33.324,42.513,0.78,1,,0,0,1,0,0,0,3,0.16722408,0.013377926,0.819397993,2,2,0.034810127,0.965189873,0
2,HC,16,73.3,0,0,33.438,63.939,0.97,1,,74.8,0,91.587,0,1.699,0.93,1,,73.732,0,0,29.146,67.55,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,17,69.703,0,0,22.998,74.271,0.97,1,,73.78,0,63.596,7.785,17.575,0.89,1,,74.24,0.036,0.35,40.35,45.618,0.86,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,18,63.556,0,2.03,0,77.599,0.80,1,,73.602,0.511,85.155,0,7.06,0.93,1,,72.194,0,0,11.203,86.542,0.98,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,19,71.231,0,2.015,27.513,63.964,0.93,1,,74.229,0,94.549,3.094,1.45,0.99,1,,74.428,0,1.626,22.567,69.356,0.94,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,20,65.819,0,0.1,19.016,78.467,0.98,1,,74.057,0.922,63.185,14.81,19.816,0.99,1,,74.021,0.585,0.607,34.308,60.933,0.96,1,,0,0,1,0,0,2,3,0,0.1352657,0.8647343,2,2,0,1,0
2,HC,21,71.696,0,0,20.471,74.954,0.95,1,,74.184,0,94.814,2.354,2.057,0.99,1,,74.279,0,0.18,20.548,73.633,0.94,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,23,71.102,0,0,40.756,51.88,0.93,1,,74.271,0,85.678,5.313,6.132,0.97,1,,74.089,0,1.442,24.12,61.522,0.87,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,24,79.196,0,0.325,49.687,48.451,0.98,1,,74.084,0,75,3.484,10.489,0.89,1,,74.345,0,0,54.827,43.583,0.98,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,25,69.859,0,0,24.051,72.731,0.97,1,,73.967,0,64.702,20.661,12.842,0.98,1,,73.793,0,0.022,12.363,83.565,0.96,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,26,66.064,0,0.781,45.353,51.349,0.97,1,,73.97,0,96.292,0,2.943,0.99,1,,74.171,0,0,61.188,35.705,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,27,81.511,0,0,30.379,66.019,0.96,1,,74.099,0,43.712,14.999,26.813,0.86,1,,74.013,0,0.944,15.974,78.674,0.96,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,28,65.271,0,0,26.683,65.994,0.93,1,,72.855,0,83.725,5.974,9.609,0.99,1,,75.085,2.375,0,61.183,34.44,0.98,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,29,66.799,0,0,11.638,85.822,0.97,1,,74.03,0,95.776,0.066,3.711,1.00,1,,74.112,0,0,19.709,76.046,0.96,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,30,71.652,0.925,32.348,26.238,36.273,0.96,0,,74.255,0,70.161,11.811,13.423,0.95,1,,74.289,0.026,2.186,35.358,52.226,0.90,1,,0,2,0.127516779,0.872483221,0,3,3,0,0,1,2,2,0,1,0
2,HC,31,70.067,0,0,32.365,64.764,0.97,1,,71.579,0.024,58.372,13.343,26.026,0.98,1,,74.064,0.062,0,29.859,64.577,0.95,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,32,70.156,0,0,17.953,78.71,0.97,1,,74.131,0,79.346,0,16.583,0.96,1,,74.143,0,0.927,0.596,70.685,0.72,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,33,70.859,0,0.08,35.579,62.092,0.98,1,,74.427,0,15.318,29.207,51.066,0.96,0,,74.076,0.803,0.906,20.119,69.743,0.92,1,,0,0,1,0,0,2,2,0,1,0,2,2,0,1,0
2,HC,34,66.828,0.557,3.198,18.917,70,0.93,1,,63.105,0.845,47.54,5.163,19.437,0.73,1,,65.353,0.353,60.519,6.861,11.337,0.79,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,35,68.914,0,0,24.641,73.928,0.99,1,,62.735,0,88.19,3.996,5.667,0.98,1,,73.703,0.265,0,16.253,78.796,0.95,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,36,68.853,0,0.642,29.088,63.416,0.93,1,,74.276,0,4.33,42.698,44.36,0.91,0,,73.702,0.45,60.472,19.721,11.924,0.93,1,,0,0,1,0,0,2,2,0,1,0,2,2,0,1,0
