"Exp","HMI","variable","n","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
3,"HC","TC12_surt_n_glances_after_start",20,4,16,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_wheel_glance_at_start",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_wheel_n_glances_after_start",20,19,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_valid",19,3,16,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_lvl_notification",16,0,0,0,16,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_lvl_end",16,15,0,0,1,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_EB_triggered",16,4,12,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_nth_gaze_to_ic",8,1,2,1,4,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_n_gazes_till_EB_or_TO",16,3,0,4,3,1,3,1,0,1,0,0,0,0,0
3,"LC","TC10_ic_glance_at_start",16,15,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_ic_n_glances_after_start",16,8,2,4,1,1,0,0,0,0,0,0,0,0,0
3,"LC","TC10_street_glance_at_start",16,15,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_street_n_glances_after_start",16,5,5,4,2,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_surt_glance_at_start",16,2,14,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_surt_n_glances_after_start",16,1,5,8,1,1,0,0,0,0,0,0,0,0,0
3,"LC","TC10_wheel_glance_at_start",16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC10_wheel_n_glances_after_start",16,14,2,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_valid",19,3,16,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_lvl_notification",16,0,0,0,16,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_lvl_end",16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_EB_triggered",16,3,13,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_nth_gaze_to_ic",10,1,8,1,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_n_gazes_till_EB_or_TO",16,5,5,1,4,0,1,0,0,0,0,0,0,0,0
3,"LC","TC12_ic_glance_at_start",16,15,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_ic_n_glances_after_start",16,6,6,3,1,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_street_glance_at_start",16,11,5,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_street_n_glances_after_start",16,10,4,2,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_surt_glance_at_start",16,6,10,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_surt_n_glances_after_start",16,4,11,1,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_wheel_glance_at_start",16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"LC","TC12_wheel_n_glances_after_start",16,13,2,1,0,0,0,0,0,0,0,0,0,0,0
