"variable","data","factor_1","factor_2","factor_3","est_1","est_2","est_3","sterr_1","sterr_2","sterr_3","z_1","z_2","z_3","p_1","p_2","p_3","aov_df_1","aov_df_2","aov_df_3","aov_ChiSq_1","aov_ChiSq_2","aov_ChiSq_3","aov_p_1","aov_p_2","aov_p_3"
"SUS_score","23","Exp.L","HMI.L","Exp.L:HMI.L","0.441735469814489","0.149709600713353","0.172592274171825","0.250095859336505","0.248032174848586","0.348439305706818","1.76626462743684","0.603589436752491","0.495329520364292","0.0773514630534924","0.546116637478208","0.620367536211355",1,1,1,0.7382667469441992,0.007109453254024968,0.24535133374431928,0.3902166671651476,0.9328039402731683,0.6203675362113549
"UMUX_score","23","Exp.L","HMI.L","Exp.L:HMI.L","0.409551131830263","0.291327179365406","-0.059267981443039","0.252415712263842","0.253361733219257","0.354782792295491","1.62252630059009","1.14984680466049","-0.167054273009036","0.104690706396823","0.250206973785629","0.867327345178659",1,1,1,1.4291279151393763,1.076794848653706,0.027907130130577436,0.23190681591751536,0.29941567829579385,0.8673273451786591
"Trust","23","Exp.L","HMI.L","Exp.L:HMI.L","0.178000982416095","0.0500280502858218","0.22451285324142","0.261192547671334","0.261508124294315","0.370121060810149","0.681493342758304","0.191305912276429","0.606593023239448","0.495559377740844","0.848285929311064","0.544121031443389",1,1,1,0.002393225671019069,0.10631752169021944,0.36795509584277303,0.9609825674743036,0.7443761777654297,0.5441210314433892
"Acceptance","23","Exp.L","HMI.L","Exp.L:HMI.L","0.0371273583305457","-0.0685651211192521","0.478391155290665","0.266818929528459","0.26705085121691","0.379131289698343","0.139148142135791","-0.256749307507582","1.26180868814942","0.889333086307127","0.797372305175927","0.207017635135147",1,1,1,0.5637475138253853,1.3949211889709023,1.592161165489367,0.4527542407604994,0.2375757835010743,0.20701763513514654
"UEQ_Attractiveness","23","Exp.L","HMI.L","Exp.L:HMI.L","0.118987901368421","-0.0778325646400856","0.16857562681733","0.246206480375742","0.246646456742402","0.348618660084659","0.4832850101542","-0.315563278986709","0.483553079965348","0.628893381922989","0.752334013565535","0.62870308052996",1,1,1,3.3579514450863925e-7,0.37158513840778545,0.23382358114397403,0.9995376432064615,0.542141497253312,0.6287030805299604
"UEQ_Perspicuity","23","Exp.L","HMI.L","Exp.L:HMI.L","0.517166157091909","-0.0523982425897444","-0.144784110608792","0.252392306133543","0.245321480447669","0.347243879321701","2.04905674429818","-0.213590112427687","-0.416952232222524","0.0404565665487485","0.830866710612727","0.676713347473748",1,1,1,2.7693518932191097,0.023471121080038994,0.17384916395534597,0.09608505815784257,0.8782382900746047,0.6767133474737482
"UEQ_Efficiency","23","Exp.L","HMI.L","Exp.L:HMI.L","0.425411709588398","0.148568731242452","0.0460011669692124","0.25206681569157","0.250866243399911","0.353773164404768","1.68769422671223","0.592222888296756","0.130030119855502","0.0914699406192684","0.553701344565953","0.896542596786106",1,1,1,1.083315769357215,0.1323910320790441,0.016907832069636322,0.2979569782393169,0.7159657033976303,0.8965425967861064
"UEQ_Dependability","23","Exp.L","HMI.L","Exp.L:HMI.L","0.221180114240759","0.184912696247543","-0.101681458607338","0.248862902979567","0.248620153783532","0.351905203657035","0.888762895524526","0.743755859826802","-0.288945595434948","0.374130520917493","0.457024188518231","0.772623011011999",1,1,1,0.6369818621806698,0.6375659857246986,0.08348955712125639,0.4248058263565717,0.42459356572767254,0.7726230110119989
"UEQ_Novelty","23","Exp.L","HMI.L","Exp.L:HMI.L","0.374155135210299","0.0583484666905729","0.248430648926006","0.2488419439323","0.246390298023125","0.348077772451431","1.50358548602278","0.236813166584573","0.713721669661255","0.132688130551276","0.812801736607691","0.475399304062181",1,1,1,0.2971731855158467,0.13350865260698963,0.5093986217440494,0.5856600306779756,0.7148215299083291,0.4753993040621808
"UEQ_Stimulation","23","Exp.L","HMI.L","Exp.L:HMI.L","0.283462012713421","0.293020952678905","0.376478461432033","0.249066317743459","0.252858996596658","0.353698412648666","1.13809854050755","1.15883143025482","1.06440528984221","0.25507933750506","0.246524903336783","0.287145138461616",1,1,1,0.0021283175873404304,0.007099997195940933,1.1329586210440779,0.963203691824184,0.9328485370843737,0.2871451384616163
