"variable","Exp","HMI","n","mean","sd","median","min","max","frequencies"
"TC11_ER",1,"HC",26,1.42,0.64,1,1,3,"1: 17, 2: 7, 3: 2, 4: 0"
"TC11_ER",1,"LC",26,1.46,0.95,1,1,5,"1: 19, 2: 4, 3: 2, 5: 1"
"TC11_ER",2,"HC",33,1.09,0.52,1,1,4,"1: 32, 4: 1, 2: 0, 3: 0"
"TC11_ER",2,"LC",28,1.5,1.07,1,1,5,"1: 22, 3: 3, 2: 1, 4: 1"
"TC11_ER",3,"HC",21,1.33,0.8,1,1,4,"1: 17, 2: 2, 3: 1, 4: 1"
"TC11_ER",3,"LC",21,1.48,1.03,1,1,5,"1: 16, 2: 2, 3: 2, 5: 1"
"TC12_ER",1,"HC",26,1.96,0.82,2,1,4,"2: 15, 1: 7, 3: 2, 4: 2"
"TC12_ER",1,"LC",26,2.65,1.23,2,1,5,"2: 11, 4: 6, 1: 4, 3: 3"
"TC12_ER",2,"HC",33,1.27,0.52,1,1,3,"1: 25, 2: 7, 3: 1, 4: 0"
"TC12_ER",2,"LC",28,2.75,1.35,2,1,5,"2: 10, 1: 5, 4: 5, 3: 4"
"TC12_ER",3,"HC",21,1.62,1.16,1,1,5,"1: 15, 2: 2, 3: 2, 4: 1"
"TC12_ER",3,"LC",21,2.67,1.8,2,1,5,"1: 10, 5: 6, 3: 2, 4: 2"
"SUS_score",1,"HC",26,81.44,16.16,88.75,40,97.5,NA
"SUS_score",1,"LC",26,77.02,12.35,77.5,52.5,100,NA
"SUS_score",2,"HC",33,79.09,14.37,80,42.5,97.5,NA
"SUS_score",2,"LC",28,78.75,16.04,77.5,47.5,100,NA
"SUS_score",3,"HC",21,86.19,11.2,90,47.5,100,NA
"SUS_score",3,"LC",21,81.31,18.12,85,17.5,100,NA
"UMUX_score",1,"HC",26,83.49,9.96,85.42,62.5,100,NA
"UMUX_score",1,"LC",26,68.11,18.71,66.67,20.83,95.83,NA
"UMUX_score",2,"HC",33,81.44,13.86,83.33,41.67,95.83,NA
"UMUX_score",2,"LC",28,77.83,15.67,79.17,50,100,NA
"UMUX_score",3,"HC",21,86.31,10.8,87.5,54.17,100,NA
"UMUX_score",3,"LC",21,82.34,15.36,91.67,45.83,100,NA
"UEQ_Attractiveness",1,"HC",26,1.6,0.82,1.67,-0.17,3,NA
"UEQ_Attractiveness",1,"LC",26,1.14,1.09,1.5,-1.67,2.83,NA
"UEQ_Attractiveness",2,"HC",33,1.62,1.03,1.67,-1.5,3,NA
"UEQ_Attractiveness",2,"LC",28,1.79,0.9,1.92,0,3,NA
"UEQ_Attractiveness",3,"HC",21,1.88,0.59,1.83,0.83,3,NA
"UEQ_Attractiveness",3,"LC",21,1.73,1.08,1.83,-1.33,3,NA
"UEQ_Perspicuity",1,"HC",26,1.71,0.83,2,-0.25,2.75,NA
"UEQ_Perspicuity",1,"LC",26,1.35,1.32,1.62,-1.75,3,NA
"UEQ_Perspicuity",2,"HC",33,1.55,1.31,1.75,-1.75,3,NA
"UEQ_Perspicuity",2,"LC",28,1.54,1.18,1.75,-0.75,3,NA
"UEQ_Perspicuity",3,"HC",21,2.07,0.77,2.25,-0.25,3,NA
"UEQ_Perspicuity",3,"LC",21,1.98,1.21,2.5,-1.25,3,NA
"UEQ_Efficiency",1,"HC",26,1.35,0.85,1.25,-0.5,3,NA
"UEQ_Efficiency",1,"LC",26,1.47,1.01,1.5,-1.5,3,NA
"UEQ_Efficiency",2,"HC",33,1.63,0.92,1.75,-1.75,3,NA
"UEQ_Efficiency",2,"LC",28,1.6,0.81,1.75,0,3,NA
"UEQ_Efficiency",3,"HC",21,2.01,0.5,2,1,3,NA
"UEQ_Efficiency",3,"LC",21,1.82,0.83,2,0.5,3,NA
"UEQ_Dependability",1,"HC",26,1.61,0.67,1.5,0.25,2.75,NA
"UEQ_Dependability",1,"LC",26,0.98,1.06,1.25,-1.25,3,NA
"UEQ_Dependability",2,"HC",33,1.41,1.08,1.5,-2,3,NA
"UEQ_Dependability",2,"LC",28,1.16,1.24,1.38,-1.25,3,NA
"UEQ_Dependability",3,"HC",21,1.57,0.82,1.75,0,3,NA
"UEQ_Dependability",3,"LC",21,1.43,1.09,1.75,-1,3,NA
"UEQ_Stimulation",1,"HC",26,1.21,0.94,1,-1.25,3,NA
"UEQ_Stimulation",1,"LC",26,0.82,1.1,0.75,-1.75,3,NA
"UEQ_Stimulation",2,"HC",33,1.23,1.07,1.5,-1.75,3,NA
"UEQ_Stimulation",2,"LC",28,1.29,0.93,1.12,-1,3,NA
"UEQ_Stimulation",3,"HC",21,1.74,0.67,2,0.25,3,NA
"UEQ_Stimulation",3,"LC",21,1.33,0.98,1,-0.25,3,NA
"UEQ_Novelty",1,"HC",26,1.1,0.89,1,-0.25,3,NA
"UEQ_Novelty",1,"LC",26,0.83,1.21,1,-2.25,2.5,NA
"UEQ_Novelty",2,"HC",33,0.81,1.2,1,-1.75,2.75,NA
"UEQ_Novelty",2,"LC",28,0.95,1.29,0.88,-2.25,3,NA
"UEQ_Novelty",3,"HC",21,1.4,0.83,1.25,-0.25,2.75,NA
"UEQ_Novelty",3,"LC",21,1.12,1.22,1,-1.5,3,NA
"ER_overall",1,"HC",26,1.76,0.52,1.67,1.08,3,NA
"ER_overall",1,"LC",26,1.88,0.47,1.75,1.17,2.92,NA
"ER_overall",2,"HC",33,1.53,0.37,1.5,1,2.42,NA
"ER_overall",2,"LC",28,2.07,0.74,1.79,1.25,3.92,NA
"ER_overall",3,"HC",21,1.67,0.52,1.5,1,3,NA
"ER_overall",3,"LC",21,2.02,0.68,1.83,1.08,4,NA
"LevelObserved_Rep_score",1,"HC",26,11.54,0.71,12,10,12,NA
"LevelObserved_Rep_score",1,"LC",26,11.38,0.85,12,9,12,NA
"LevelObserved_Rep_score",2,"HC",33,11.33,1.27,12,7,12,NA
"LevelObserved_Rep_score",2,"LC",28,10.14,2.46,11.5,4,12,NA
"LevelObserved_Rep_score",3,"HC",21,11.38,1.36,12,6,12,NA
"LevelObserved_Rep_score",3,"LC",21,10.43,2.82,12,1,12,NA
"LevelObserved_Instr_score",1,"HC",26,11.27,0.72,11,9,12,NA
"LevelObserved_Instr_score",1,"LC",26,10.92,1.16,11,6,12,NA
"LevelObserved_Instr_score",2,"HC",33,11.15,1.12,12,8,12,NA
"LevelObserved_Instr_score",2,"LC",28,9.61,2.53,10,3,12,NA
"LevelObserved_Instr_score",3,"HC",21,10.86,1.15,11,9,12,NA
"LevelObserved_Instr_score",3,"LC",21,9.67,2.97,11,3,12,NA
"HandsOffAllow_Observed_score",1,"HC",26,11.85,0.37,12,11,12,NA
"HandsOffAllow_Observed_score",1,"LC",26,11.62,0.57,12,10,12,NA
"HandsOffAllow_Observed_score",2,"HC",33,10.85,1.87,12,4,12,NA
"HandsOffAllow_Observed_score",2,"LC",28,10.21,1.83,10.5,7,12,NA
"HandsOffAllow_Observed_score",3,"HC",21,10.95,1.32,11,8,12,NA
"HandsOffAllow_Observed_score",3,"LC",21,10.29,2.17,11,4,12,NA
"EmailsAllow_Observed_score",1,"HC",26,11.85,0.37,12,11,12,NA
"EmailsAllow_Observed_score",1,"LC",26,11.65,0.56,12,10,12,NA
"EmailsAllow_Observed_score",2,"HC",33,11.42,1.09,12,8,12,NA
"EmailsAllow_Observed_score",2,"LC",28,10.5,1.95,11.5,5,12,NA
"EmailsAllow_Observed_score",3,"HC",21,11.43,0.81,12,9,12,NA
"EmailsAllow_Observed_score",3,"LC",21,10.19,2.71,12,2,12,NA
"BothAllow_Observed_score",1,"HC",26,23.69,0.74,24,22,24,NA
"BothAllow_Observed_score",1,"LC",26,23.27,1.12,24,20,24,NA
"BothAllow_Observed_score",2,"HC",33,22.27,2.76,24,13,24,NA
"BothAllow_Observed_score",2,"LC",28,20.71,3.57,21.5,13,24,NA
"BothAllow_Observed_score",3,"HC",21,22.38,1.88,22,18,24,NA
