"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC12_lvl_end",3,"LC",19,16,0,0,0,0,0,"0: 16, 3: 0"
"TC12_EB_triggered",1,"HC",26,22,0.36,0.49,0,0,1,"0: 14, 1: 8"
"TC12_EB_triggered",1,"LC",26,25,0.52,0.51,1,0,1,"1: 13, 0: 12"
"TC12_EB_triggered",2,"HC",33,32,0.06,0.25,0,0,1,"0: 30, 1: 2"
"TC12_EB_triggered",2,"LC",28,25,0.64,0.49,1,0,1,"1: 16, 0: 9"
"TC12_EB_triggered",3,"HC",23,20,0.25,0.44,0,0,1,"0: 15, 1: 5"
"TC12_EB_triggered",3,"LC",19,16,0.81,0.4,1,0,1,"1: 13, 0: 3"
"TC12_nth_gaze_to_ic",1,"HC",26,22,0.95,0.21,1,0,1,"1: 21, 0: 1, 2: 0, 3: 0"
"TC12_nth_gaze_to_ic",1,"LC",26,25,80.72,276.37,1,0,999,"1: 18, 0: 4, 999: 2, 2: 1"
"TC12_nth_gaze_to_ic",2,"HC",33,32,1.12,0.49,1,0,3,"1: 27, 2: 3, 0: 1, 3: 1"
"TC12_nth_gaze_to_ic",2,"LC",28,25,240.24,435.18,1,0,999,"1: 10, 0: 8, 999: 6, 2: 1"
"TC12_nth_gaze_to_ic",3,"HC",23,20,1,0.46,1,0,2,"1: 16, 0: 2, 2: 2, 3: 0"
"TC12_nth_gaze_to_ic",3,"LC",19,10,1,0.47,1,0,2,"1: 8, 0: 1, 2: 1, 3: 0"
"TC12_n_gazes_till_EB_or_TO",1,"HC",26,22,3.86,1.55,3,1,7,"3: 11, 5: 5, 7: 2, 1: 1"
"TC12_n_gazes_till_EB_or_TO",1,"LC",26,25,3.48,2.68,3,0,11,"3: 5, 1: 4, 2: 4, 4: 3"
"TC12_n_gazes_till_EB_or_TO",2,"HC",33,32,2.84,1.57,3,1,7,"3: 9, 2: 8, 1: 7, 5: 6"
"TC12_n_gazes_till_EB_or_TO",2,"LC",28,25,2.84,1.89,3,0,7,"2: 6, 3: 6, 0: 4, 4: 3"
"TC12_n_gazes_till_EB_or_TO",3,"HC",23,20,2.05,1.28,1.5,1,5,"1: 10, 3: 4, 2: 3, 4: 2"
"TC12_n_gazes_till_EB_or_TO",3,"LC",19,16,1.5,1.51,1,0,5,"0: 5, 1: 5, 3: 4, 2: 1"
"TC12_ic_glance_at_start",1,"HC",26,22,0.05,0.21,0,0,1,"0: 21, 1: 1"
"TC12_ic_glance_at_start",1,"LC",26,25,0.16,0.37,0,0,1,"0: 21, 1: 4"
"TC12_ic_glance_at_start",2,"HC",33,32,0.03,0.18,0,0,1,"0: 31, 1: 1"
"TC12_ic_glance_at_start",2,"LC",28,25,0.32,0.48,0,0,1,"0: 17, 1: 8"
"TC12_ic_glance_at_start",3,"HC",23,20,0.1,0.31,0,0,1,"0: 18, 1: 2"
"TC12_ic_glance_at_start",3,"LC",19,16,0.06,0.25,0,0,1,"0: 15, 1: 1"
"TC12_ic_n_glances_after_start",1,"HC",26,22,2.27,0.77,2,1,4,"2: 11, 3: 7, 1: 3, 4: 1"
"TC12_ic_n_glances_after_start",1,"LC",26,25,2.12,1.39,2,0,6,"2: 10, 1: 6, 3: 4, 0: 2"
"TC12_ic_n_glances_after_start",2,"HC",33,32,1.72,0.89,1,1,4,"1: 17, 2: 8, 3: 6, 4: 1"
