"startdate","Exp","HMI","VPCode","VPNr"
"2021-07-29 13:51:37",3,"LC","RO_DA_11",61
"2021-07-28 09:26:45",3,"LC","SO_BA_1",59
"2021-07-28 14:00:04",3,"LC","DO_NI_9",60
"2021-07-30 14:10:19",3,"HC","DO_DA_6",15
"2021-08-02 11:46:06",3,"LC","AZ_GA_8",65
"2021-07-30 09:18:21",3,"HC","CH_EM_10",14
"2021-08-02 09:14:55",3,"HC","DI_CH_12",16
"2021-08-03 09:32:57",3,"LC","NO_WI_5",66
"2021-08-03 13:53:00",3,"LC","SC_FL_1",67
"2021-08-04 09:15:06",3,"LC","EW_RM_10",68
"2021-08-06 06:09:50",3,"LC","AP_HO_11",71
"2021-08-05 10:05:15",3,"HC","VE_CW_9",19
"2021-08-05 12:04:57",3,"HC","MI_ST_10",20
"2021-08-04 11:39:30",3,"HC","RO_RO_9",18
"2021-08-05 07:13:37",3,"LC","TA_GR_3",69
"2021-08-05 14:18:58",3,"LC","JO_HE_10",70
"2021-08-03 07:19:17",3,"HC","DA_GR_6",17
"2021-08-06 08:13:03",3,"HC","KA_AL_1",21
