"comparison","AV","call","est_intercept","est_Exp","est_HMI","est_Exp:HMI","stdErr_intercept","stdErr_Exp","stdErr_HMI","stdErr_Exp:HMI","z_intercept","z_Exp","z_HMI","z_Exp:HMI","p_intercept","p_Exp","p_HMI","p_Exp:HMI","Df_Exp","Df_HMI","Df_Exp:HMI","ChiSq_Exp","ChiSq_HMI","ChiSq_Exp:HMI","Df_ChiSq_Exp","Df_ChiSq_HMI","Df_ChiSq_Exp:HMI","p_ChiSq_Exp","p_ChiSq_HMI","p_ChiSq_Exp:HMI"
"12","FirstGlanceDuration_ic","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = identity)",2.8482621270278043,-0.08307103443374741,-0.19295755395813052,-0.07041097856484613,0.8098871019638393,0.15256323356482554,0.1525723797779768,0.15256897812283024,3.516863177745701,-0.5445023187611565,-1.26469518427203,-0.4615025900492016,4.366788139275651e-4,0.586095853202795,0.20598061693562567,0.6444380635956739,6,6,6,0.29598002235218246,1.5838982309833227,0.2127366429498352,1,1,1,0.586413630760197,0.20820007718063355,0.6446308551066143
"12","TimeToL0_max25","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = identity)",10.479743047440287,-0.14556088410201878,-1.6971748526642632,1.0816307112751884,3.281533199636455,0.3958223048627114,0.3958245200040368,0.3958249434031616,3.1935508220978193,-0.36774300567146084,-4.287695094399292,2.7325986633780923,0.0014053459793351853,0.7130648702283581,1.805366732485785e-5,0.0062836848188723695,6,6,6,0.13515686799519244,16.983403657628287,7.222256901559376,1,1,1,0.713144019161606,3.770799245911392e-5,0.007200511935812986
"23","LevelObserved_Rep","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",3.7611411438944193,-0.1129752115875321,0.7045002757289416,0.07376738818042253,0.4066521992870252,0.27285223701919437,0.2764387538592944,0.2729950281588781,9.249036770214817,-0.41405272253488845,2.5484859336601113,0.27021513423860327,2.2652477280584467e-20,0.6788354956209524,0.010819164990374545,0.7869947501944647,5,5,5,0.17026890746319623,6.494626720951487,0.07282346299484743,1,1,1,0.6798729316359777,0.01082010120031226,0.7872693248006617
"23","EmailsAllow_Observed","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",-0.9967367578166185,0.004930946407400263,-0.1714123751934074,0.023590119286712792,0.6500888155082425,0.13736928182524424,0.1375471956940463,0.1373552119595511,-1.53323166625681,0.03589555351736655,-1.2462077058603889,0.17174535243453085,0.12521878458045718,0.9713656413634598,0.2126881507666719,0.8636377294312627,5,5,5,0.0012232125598075072,1.4713143662703487,0.028338589848772244,1,1,1,0.9721001097118117,0.2251384307748162,0.8663152600750356
"23","HandsOffAllow_Observed","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",-0.658284384363908,0.07256835499888975,-0.061098889835294753,-0.0517500167765918,0.61473534107078,0.12972535173218688,0.12970099010615527,0.12971231084512114,-1.0708419386093402,0.5593999478891712,-0.4710749685510316,-0.3989599478987177,0.28424050611116203,0.5758887969386777,0.6375871997131503,0.6899227162741841,5,5,5,0.3030343709006047,0.21449379804198543,0.15410081246977825,1,1,1,0.5819863665039736,0.6432677819297422,0.694646878872231
"23","LevelObserved_Instr","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",2.9599977494189513,0.06248080856663986,0.6276047495284134,0.20010604853815356,0.4024847885025221,0.20446593231214055,0.20600379087231127,0.20560294165889156,7.354309613617616,0.30558053295282356,3.0465689338572703,0.9732645210404737,1.9191642820273124e-13,0.7599240443502194,0.0023146939707331332,0.3304218508244863,5,5,5,0.09309399608878266,8.95904105750003,0.958248669011482,1,1,1,0.760280023879885,0.002760997790858353,0.32762851913978663
"23","AvailImplem_Rep","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",1.812576673448902,-0.020906643129859015,0.3916839102499545,-0.1319534264493167,0.3847382641220496,0.1083449949344028,0.10883439066049881,0.10841386389513182,4.711194187001641,-0.19296362644639825,3.5988983617484,-1.2171268665136277,2.4626943538420667e-6,0.8469874545698327,3.195680461141984e-4,0.2235559500988542,5,5,5,0.03678669697501391,12.141210391529967,1.4476666623850178,1,1,1,0.84789997986978,4.931975648716017e-4,0.2289027255704476
"23","AvailReasonCorrect","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, LRT, binomial",-0.2526485309035522,0.7991518437648957,0.39321771189726823,-0.20107407062109678,0.20550733111084848,0.2188814569200297,0.2090049866418268,0.20632005958340016,-1.2293893825484807,3.651071474989647,1.881379570005801,-0.9745735389331699,0.21892584915446126,2.6114854441727016e-4,0.0599203039519936,0.32977184459934,4,4,4,15.294740581977976,3.712728142236415,0.9695026974975463,1,1,1,9.19722271911756e-5,0.05399906310721748,0.32480423601749847
"23","TransProblems","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, LRT, binomial",-2.377412824593394,0.3547224545496166,0.3406479356675719,-0.08907778309667769,0.20593040932848128,0.16529666582738872,0.16589950795763542,0.16521358793493982,-11.544738984134993,2.145974649724853,2.053339035547717,-0.5391674147997804,7.847934947949378e-31,0.031875001262564213,0.04003970748406954,0.5897713421886003,4,4,4,4.771499366394721,4.407201557810538,0.2932747717351276,1,1,1,0.028934615892927548,0.035787503627399894,0.5881295817589122
"23","ER_score","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = log)",0.5283029232001344,-0.021479678499321503,-0.1280770743893697,-0.026518248971156996,0.08365679748154532,0.030484998333334488,0.030500170523544385,0.030481939018188572,6.315122489797412,-0.7045983163408632,-4.19922486303811,-0.8699659478792855,2.69947577412851e-10,0.4810602465785205,2.6783024828933174e-5,0.38431901358773124,6,6,6,0.4955876976991931,16.2233183559797,0.7527602457985267,1,1,1,0.481445291949819,5.6296879930996405e-5,0.3856037252957593
"23","AttentionRatio_surt","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = identity)",85.2494583053254,3.0508107432854814,3.388948841477432,-1.5514407733788973,9.252334804107388,1.1679900197046487,1.1680441911063706,1.1680057255813983,9.213831979737765,2.6120178184886753,2.901387522219876,-1.3282818220832235,3.14685568697399e-20,0.009000956271582308,0.003715141253301635,0.1840850226206095,6,6,6,6.58827495802052,8.065565612766477,1.7482009512636978,1,1,1,0.010265259345581519,0.004511439002128495,0.18610305777741895
"23","GlanceAllocationTime_ic","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = identity)",3.24460468328785,-1.0632877056636034,-0.5998576177662323,0.6448657827651055,1.3790392226793085,0.3279910333957391,0.3274879463919075,0.3280638245933897,2.3528008702928482,-3.241819432242493,-1.8316937291132473,1.9656717212401214,0.01863260921848418,0.0011876924832183464,0.06699706346875325,0.049336543422441474,6,6,6,9.91930309543568,3.2821725393603174,3.792470309236137,1,1,1,0.0016355429879306486,0.07003616271581613,0.05148361324579031
"23","FirstGlanceDuration_ic","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = identity)",2.957672323470769,-0.021610121663241534,-0.24043900021412018,0.11368378552006689,0.7748199283722603,0.15980573789824368,0.1592957633272679,0.15929857010122658,3.817238322308306,-0.13522744519349975,-1.5093872880984676,0.7136522659797028,1.3495379857208768e-4,0.8924320482644857,0.13119983969881407,0.47544222990398516,6,6,6,0.01832222182224541,2.2088288454833673,0.5059691488049793,1,1,1,0.8923275631363131,0.1372228110081533,0.47688900634781095
"23","TimeToL0_max25","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = identity)",11.30185792758618,-0.6763536717383174,-2.859906280877428,0.08652819861006289,3.4261637116883352,0.4712919877957279,0.471291401444935,0.47131186658394914,3.2986917376510543,-1.435105389551985,-6.068233521997697,0.18359011250282334,9.713651709365314e-4,0.15125706798360158,1.293247734241372e-9,0.8543350203573783,6,6,6,2.0361387433504206,31.056709623611596,0.03369917170630288,1,1,1,0.15359911109418284,2.5059855811875866e-8,0.8543481780872659
