"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC04_prop_L0",3,"HC",20,15,0,0,0,0,0,NA
"TC04_prop_L0",3,"LC",21,12,0,0,0,0,0,NA
"TC04_prop_L2",1,"HC",22,22,0,0,0,0,0.01,NA
"TC04_prop_L2",1,"LC",25,25,0,0,0,0,0.01,NA
"TC04_prop_L2",2,"HC",32,27,0.01,0.03,0,0,0.14,NA
"TC04_prop_L2",2,"LC",25,14,0,0.01,0,0,0.05,NA
"TC04_prop_L2",3,"HC",20,15,0,0,0,0,0,NA
"TC04_prop_L2",3,"LC",21,12,0,0,0,0,0.02,NA
"TC04_prop_L3",1,"HC",22,22,1,0.01,1,0.96,1,NA
"TC04_prop_L3",1,"LC",25,25,1,0,1,0.99,1,NA
"TC04_prop_L3",2,"HC",32,27,0.98,0.07,1,0.71,1,NA
"TC04_prop_L3",2,"LC",25,14,1,0.01,1,0.95,1,NA
"TC04_prop_L3",3,"HC",20,15,1,0,1,1,1,NA
"TC04_prop_L3",3,"LC",21,12,1,0,1,0.98,1,NA
"TC07_AR_surt",1,"HC",22,22,0.97,2.19,0,0,9.96,NA
"TC07_AR_surt",1,"LC",25,25,1.26,5.45,0,0,27.34,NA
"TC07_AR_surt",2,"HC",32,32,4.25,14.77,0.17,0,60.52,NA
"TC07_AR_surt",2,"LC",25,20,2.94,11.32,0,0,50.95,NA
"TC07_AR_surt",3,"HC",20,20,3.49,12.22,0,0,54.23,NA
"TC07_AR_surt",3,"LC",21,18,15.68,28.27,0,0,94.14,NA
"TC07_AR_street",1,"HC",22,22,65.32,18.77,67.38,25.29,92.28,NA
"TC07_AR_street",1,"LC",25,25,64.69,14.04,62.84,35.77,91.55,NA
"TC07_AR_street",2,"HC",32,32,59.92,20.99,65.1,11.34,86.71,NA
"TC07_AR_street",2,"LC",25,20,54,20.92,53.68,15.63,92.01,NA
"TC07_AR_street",3,"HC",20,20,54.15,18.49,53.38,9.37,79.11,NA
"TC07_AR_street",3,"LC",21,18,42.35,24.49,48.41,0,92.6,NA
"TC07_AR_ic",1,"HC",22,22,25.88,14.71,24.74,6.58,63.14,NA
"TC07_AR_ic",1,"LC",25,25,30.1,13.13,29.64,8.56,57.98,NA
"TC07_AR_ic",2,"HC",32,32,27.47,15.41,23.34,0.6,61.19,NA
"TC07_AR_ic",2,"LC",25,20,36.84,16.19,39.97,6.42,66.74,NA
"TC07_AR_ic",3,"HC",20,20,29.52,15.46,30.48,4.83,56.01,NA
"TC07_AR_ic",3,"LC",21,18,30.14,22.14,29.22,0,74.93,NA
"TC07_AR_wheel",1,"HC",22,22,0.57,1.76,0,0,8.2,NA
"TC07_AR_wheel",1,"LC",25,25,0.07,0.34,0,0,1.7,NA
"TC07_AR_wheel",2,"HC",32,32,0.24,0.51,0,0,2.38,NA
"TC07_AR_wheel",2,"LC",25,20,0.08,0.21,0,0,0.86,NA
"TC07_AR_wheel",3,"HC",20,20,0.02,0.07,0,0,0.3,NA
"TC07_AR_wheel",3,"LC",21,18,0.1,0.23,0,0,0.64,NA
"TC07_AR_sum",1,"HC",22,22,92.74,4.91,94.26,82.88,98.96,NA
"TC07_AR_sum",1,"LC",25,25,96.12,4.22,96.95,82.52,100.36,NA
"TC07_AR_sum",2,"HC",32,32,91.88,7.19,94.9,72.21,100.16,NA
"TC07_AR_sum",2,"LC",25,20,93.86,5.21,95.58,82.64,99.41,NA
"TC07_AR_sum",3,"HC",20,20,87.18,8.53,86.85,72.72,100.21,NA
"TC07_AR_sum",3,"LC",21,18,88.27,7.45,89.98,75.57,98.89,NA
"TC07_prop_L0",1,"HC",22,22,0,0,0,0,0,NA
"TC07_prop_L0",1,"LC",25,25,0,0,0,0,0,NA
"TC07_prop_L0",2,"HC",32,32,0,0.01,0,0,0.03,NA
