"Exp","HMI","VPNr","Hoff_n_warnings","Hoff_n_warnings_s1","Hoff_n_warnings_s2","Hoff_n_warnings_s3","Hoff_WarningDuration_mean","Hoff_WarningDuration_1","Hoff_WarningDuration_2","Hoff_WarningDuration_3","Hoff_WarningDuration_4","Hoff_WarningDuration_5","Hoff_WarningDuration_6","Hoff_WarningDuration_7","Hoff_WarningDuration_8","Hoff_WarningDuration_9"
2,"LC",82,1,0,0,1,18.8000000000001,18.8000000000001,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",4,1,1,0,0,2.79999999999997,2.79999999999997,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",13,1,1,0,0,5.29999999999996,5.29999999999996,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",16,1,1,0,0,3.19999999999997,3.19999999999997,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",17,1,1,0,0,1.89999999999997,1.89999999999997,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",19,2,1,1,0,7.549999999999985,9.40000000000001,5.69999999999996,NA,NA,NA,NA,NA,NA,NA
3,"HC",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"HC",21,2,2,0,0,2.39999999999997,2.59999999999997,2.19999999999997,NA,NA,NA,NA,NA,NA,NA
3,"LC",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",52,1,1,0,0,1.99999999999997,1.99999999999997,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",53,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",54,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",55,6,2,2,2,9.933333333333355,4.39999999999996,10,9.2,17.4000000000001,1.89999999999997,16.7000000000001,NA,NA,NA
3,"LC",56,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",58,3,3,0,0,4.233333333333303,2.89999999999997,6.79999999999997,2.99999999999997,NA,NA,NA,NA,NA,NA
3,"LC",59,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",60,4,2,2,0,6.849999999999985,5.89999999999996,10,9.60000000000001,1.89999999999997,NA,NA,NA,NA,NA
3,"LC",61,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",62,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",63,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",64,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",65,2,2,0,0,2.74999999999997,2.69999999999997,2.79999999999997,NA,NA,NA,NA,NA,NA,NA
3,"LC",66,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",67,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",68,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",69,2,1,0,1,11.500000000000036,19.0000000000001,3.99999999999997,NA,NA,NA,NA,NA,NA,NA
3,"LC",70,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"LC",71,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
